request_rate,unique_endpoint_count,method_ratio,avg_payload_size,error_rate,repeated_parameter_ratio,user_agent_entropy,avg_response_time,max_response_time,is_anomalous
10.0,10,10.0,0.0,0.0,0.9,-0.0,155.7,162,0
10.0,7,1.2,16.4,0.0,0.6,-0.0,156.9,162,0
10.0,8,1.75,30.1,0.0,0.8,-0.0,157.8,180,0
10.0,9,4.5,23.7,0.0,0.9,-0.0,157.7,179,0
10.0,8,2.6666666666666665,13.1,0.0,0.7,-0.0,156.7,162,0
10.0,7,1.2,33.6,0.0,0.7,-0.0,158.7,182,0
10.0,9,4.5,1.7,0.0,0.9,-0.0,155.5,157,0
10.0,9,4.5,24.3,0.0,0.9,-0.0,157.6,180,0
10.0,6,1.2,17.3,0.0,0.6,-0.0,157.1,162,0
10.0,7,1.75,31.9,0.0,0.7,-0.0,158.4,181,0
10.0,9,4.5,24.9,0.0,0.9,-0.0,157.8,180,0
10.0,9,4.5,7.4,0.0,0.8,-0.0,156.5,163,0
10.0,7,1.2,13.2,0.0,0.7,-0.0,156.3,159,0
10.0,8,2.6666666666666665,25.4,0.0,0.8,-0.0,157.8,179,0
10.0,9,4.5,26.8,0.0,0.9,-0.0,157.8,182,0
10.0,7,1.75,13.4,0.0,0.7,-0.0,156.8,162,0
10.0,6,1.2,33.5,0.0,0.6,-0.0,158.6,180,0
10.0,9,4.5,24.9,0.0,0.9,-0.0,157.8,180,0
10.0,10,10.0,0.0,0.0,0.9,-0.0,155.7,162,0
10.0,7,1.2,16.8,0.0,0.6,-0.0,156.9,162,0
10.0,8,1.75,29.2,0.0,0.8,-0.0,157.7,179,0
10.0,9,4.5,26.3,0.0,0.9,-0.0,158.0,182,0
10.0,8,2.6666666666666665,12.8,0.0,0.7,-0.0,156.7,163,0
10.0,7,1.2,34.2,0.0,0.7,-0.0,158.7,182,0
10.0,9,4.5,1.7,0.0,0.9,-0.0,155.5,157,0
10.0,9,4.5,26.8,0.0,0.9,-0.0,157.8,182,0
10.0,6,1.2,17.3,0.0,0.6,-0.0,157.2,163,0
10.0,7,1.75,31.9,0.0,0.7,-0.0,158.4,182,0
10.0,9,4.5,25.8,0.0,0.9,-0.0,157.9,181,0
10.0,9,4.5,7.5,0.0,0.8,-0.0,156.5,163,0
10.0,7,1.2,14.5,0.0,0.7,-0.0,156.4,160,0
10.0,8,2.6666666666666665,25.9,0.0,0.8,-0.0,157.9,180,0
10.0,9,4.5,23.4,0.0,0.9,-0.0,157.5,179,0
10.0,7,1.75,13.5,0.0,0.7,-0.0,156.8,162,0
10.0,6,1.2,34.3,0.0,0.6,-0.0,158.8,181,0
10.0,9,4.5,25.1,0.0,0.9,-0.0,157.9,181,0
10.0,10,10.0,0.0,0.0,0.9,-0.0,155.7,162,0
10.0,7,1.2,16.4,0.0,0.6,-0.0,157.0,162,0
10.0,8,1.75,32.4,0.0,0.8,-0.0,158.0,182,0
10.0,9,4.5,25.3,0.0,0.9,-0.0,157.9,181,0
10.0,8,2.6666666666666665,12.8,0.0,0.7,-0.0,156.7,162,0
10.0,7,1.2,34.0,0.0,0.7,-0.0,158.7,182,0
10.0,9,4.5,1.7,0.0,0.9,-0.0,155.5,157,0
10.0,9,4.5,25.4,0.0,0.9,-0.0,157.7,181,0
10.0,6,1.2,16.9,0.0,0.6,-0.0,157.1,162,0
10.0,7,1.75,30.6,0.0,0.7,-0.0,158.3,180,0
10.0,9,4.5,27.0,0.0,0.9,-0.0,158.0,182,0
10.0,9,4.5,6.8,0.0,0.8,-0.0,156.4,162,0
10.0,7,1.2,13.9,0.0,0.7,-0.0,156.4,160,0
10.0,8,2.6666666666666665,27.4,0.0,0.8,-0.0,158.0,181,0
10.0,9,4.5,26.6,0.0,0.9,-0.0,157.8,182,0
10.0,7,1.75,14.3,0.0,0.7,-0.0,156.9,163,0
10.0,6,1.2,33.7,0.0,0.6,-0.0,158.7,180,0
10.0,9,4.5,23.1,0.0,0.9,-0.0,157.7,179,0
10.0,10,10.0,0.0,0.0,0.9,-0.0,155.7,162,0
10.0,7,1.2,17.6,0.0,0.6,-0.0,157.0,163,0
10.0,8,1.75,30.7,0.0,0.8,-0.0,157.8,180,0
10.0,9,4.5,25.6,0.0,0.9,-0.0,157.9,181,0
10.0,8,2.6666666666666665,12.2,0.0,0.7,-0.0,156.6,162,0
10.0,7,1.2,32.6,0.0,0.7,-0.0,158.6,181,0
10.0,9,4.5,1.7,0.0,0.9,-0.0,155.5,157,0
10.0,9,4.5,25.6,0.0,0.9,-0.0,157.7,181,0
10.0,6,1.2,16.9,0.0,0.6,-0.0,157.2,163,0
10.0,7,1.75,32.4,0.0,0.7,-0.0,158.5,182,0
10.0,9,4.5,25.8,0.0,0.9,-0.0,157.9,181,0
10.0,9,4.5,7.4,0.0,0.8,-0.0,156.5,163,0
10.0,7,1.2,13.7,0.0,0.7,-0.0,156.3,159,0
10.0,8,2.6666666666666665,28.0,0.0,0.8,-0.0,158.1,182,0
10.0,9,4.5,24.9,0.0,0.9,-0.0,157.6,180,0
10.0,7,1.75,14.1,0.0,0.7,-0.0,156.9,163,0
10.0,6,1.2,34.5,0.0,0.6,-0.0,158.8,181,0
10.0,9,4.5,26.9,0.0,0.9,-0.0,158.0,182,0
10.0,10,10.0,0.0,0.0,0.9,-0.0,155.8,163,0
10.0,7,1.2,17.3,0.0,0.6,-0.0,156.9,162,0
10.0,8,1.75,27.7,0.0,0.8,-0.0,157.6,178,0
10.0,9,4.5,23.8,0.0,0.9,-0.0,157.7,179,0
10.0,8,2.6666666666666665,13.6,0.0,0.7,-0.0,156.8,163,0
10.0,7,1.2,32.8,0.0,0.7,-0.0,158.6,181,0
10.0,9,4.5,1.7,0.0,0.9,-0.0,155.5,157,0
10.0,9,4.5,25.6,0.0,0.9,-0.0,157.7,181,0
10.0,6,1.2,16.2,0.0,0.6,-0.0,157.1,162,0
10.0,7,1.75,29.0,0.0,0.7,-0.0,158.1,179,0
10.0,9,4.5,24.8,0.0,0.9,-0.0,157.8,180,0
10.0,9,4.5,7.4,0.0,0.8,-0.0,156.5,163,0
10.0,7,1.2,13.9,0.0,0.7,-0.0,156.3,159,0
10.0,8,2.6666666666666665,26.0,0.0,0.8,-0.0,157.9,180,0
10.0,9,4.5,25.3,0.0,0.9,-0.0,157.7,181,0
10.0,7,1.75,13.1,0.0,0.7,-0.0,156.7,162,0
10.0,6,1.2,33.5,0.0,0.6,-0.0,158.7,180,0
10.0,9,4.5,24.7,0.0,0.9,-0.0,157.8,180,0
10.0,10,10.0,0.0,0.0,0.9,-0.0,155.8,163,0
10.0,7,1.2,16.3,0.0,0.6,-0.0,156.8,161,0
10.0,8,1.75,30.4,0.0,0.8,-0.0,157.8,180,0
10.0,9,4.5,26.2,0.0,0.9,-0.0,158.0,182,0
10.0,8,2.6666666666666665,12.7,0.0,0.7,-0.0,156.7,162,0
10.0,7,1.2,32.6,0.0,0.7,-0.0,158.6,180,0
10.0,9,4.5,1.7,0.0,0.9,-0.0,155.5,157,0
10.0,9,4.5,25.0,0.0,0.9,-0.0,157.6,180,0
10.0,6,1.2,16.7,0.0,0.6,-0.0,157.1,162,0
10.0,7,1.75,30.5,0.0,0.7,-0.0,158.3,180,0
10.0,9,4.5,27.0,0.0,0.9,-0.0,158.0,182,0
10.0,9,4.5,6.7,0.0,0.8,-0.0,156.4,162,0
10.0,7,1.2,13.8,0.0,0.7,-0.0,156.3,159,0
10.0,8,2.6666666666666665,27.2,0.0,0.8,-0.0,158.0,181,0
10.0,9,4.5,26.0,0.0,0.9,-0.0,157.7,181,0
10.0,7,1.75,13.1,0.0,0.7,-0.0,156.8,162,0
10.0,6,1.2,33.9,0.0,0.6,-0.0,158.7,181,0
10.0,9,4.5,24.4,0.0,0.9,-0.0,157.8,180,0
10.0,10,10.0,0.0,0.0,0.9,-0.0,155.7,162,0
10.0,7,1.2,16.9,0.0,0.6,-0.0,157.0,162,0
10.0,8,1.75,32.4,0.0,0.8,-0.0,158.0,182,0
10.0,9,4.5,26.4,0.0,0.9,-0.0,158.0,182,0
10.0,8,2.6666666666666665,12.6,0.0,0.7,-0.0,156.7,162,0
10.0,7,1.2,31.3,0.0,0.7,-0.0,158.5,179,0
10.0,9,4.5,1.7,0.0,0.9,-0.0,155.5,157,0
10.0,9,4.5,24.9,0.0,0.9,-0.0,157.6,180,0
10.0,6,1.2,17.0,0.0,0.6,-0.0,157.1,162,0
10.0,7,1.75,32.2,0.0,0.7,-0.0,158.4,182,0
10.0,9,4.5,29.1,0.0,0.9,-0.0,158.3,185,0
10.0,9,4.5,7.2,0.0,0.8,-0.0,156.5,163,0
10.0,7,1.2,14.5,0.0,0.7,-0.0,156.4,160,0
10.0,8,2.6666666666666665,26.7,0.0,0.8,-0.0,158.0,181,0
10.0,9,4.5,26.0,0.0,0.9,-0.0,157.7,181,0
10.0,7,1.75,13.6,0.0,0.7,-0.0,156.8,163,0
10.0,6,1.2,33.9,0.0,0.6,-0.0,158.7,181,0
10.0,9,4.5,25.8,0.0,0.9,-0.0,157.9,181,0
10.0,10,10.0,0.0,0.0,0.9,-0.0,155.8,163,0
10.0,7,1.2,16.9,0.0,0.6,-0.0,157.0,162,0
10.0,8,1.75,32.6,0.0,0.8,-0.0,158.0,182,0
10.0,9,4.5,25.1,0.0,0.9,-0.0,157.9,181,0
10.0,8,2.6666666666666665,13.4,0.0,0.7,-0.0,156.8,163,0
10.0,7,1.2,33.3,0.0,0.7,-0.0,158.6,181,0
10.0,9,4.5,1.7,0.0,0.9,-0.0,155.5,157,0
10.0,9,4.5,25.1,0.0,0.9,-0.0,157.7,181,0
10.0,6,1.2,17.7,0.0,0.6,-0.0,157.3,163,0
10.0,7,1.75,29.8,0.0,0.7,-0.0,158.2,179,0
10.0,9,4.5,27.9,0.0,0.9,-0.0,158.1,183,0
10.0,9,4.5,7.2,0.0,0.8,-0.0,156.5,163,0
10.0,7,1.2,13.3,0.0,0.7,-0.0,156.3,159,0
10.0,8,2.6666666666666665,27.0,0.0,0.8,-0.0,158.0,181,0
10.0,9,4.5,26.3,0.0,0.9,-0.0,157.8,182,0
10.0,7,1.75,13.4,0.0,0.7,-0.0,156.8,162,0
10.0,6,1.2,36.7,0.0,0.6,-0.0,158.9,183,0
10.0,9,4.5,24.8,0.0,0.9,-0.0,157.8,180,0
10.0,10,10.0,0.0,0.0,0.9,-0.0,155.8,163,0
10.0,7,1.2,17.4,0.0,0.6,-0.0,157.0,162,0
10.0,8,1.75,30.2,0.0,0.8,-0.0,157.8,180,0
10.0,9,4.5,22.4,0.0,0.9,-0.0,157.6,178,0
10.0,8,2.6666666666666665,13.7,0.0,0.7,-0.0,156.8,163,0
10.0,7,1.2,33.4,0.0,0.7,-0.0,158.7,181,0
10.0,9,4.5,1.7,0.0,0.9,-0.0,155.5,157,0
10.0,9,4.5,27.5,0.0,0.9,-0.0,157.9,183,0
10.0,6,1.2,17.4,0.0,0.6,-0.0,157.2,163,0
10.0,7,1.75,30.8,0.0,0.7,-0.0,158.3,180,0
10.0,9,4.5,25.1,0.0,0.9,-0.0,157.9,181,0
10.0,9,4.5,7.1,0.0,0.8,-0.0,156.4,162,0
10.0,7,1.2,13.9,0.0,0.7,-0.0,156.3,159,0
10.0,8,2.6666666666666665,27.6,0.0,0.8,-0.0,158.0,181,0
10.0,9,4.5,25.8,0.0,0.9,-0.0,157.7,181,0
10.0,7,1.75,13.5,0.0,0.7,-0.0,156.8,163,0
10.0,6,1.2,32.5,0.0,0.6,-0.0,158.5,179,0
10.0,9,4.5,26.1,0.0,0.9,-0.0,158.0,182,0
10.0,10,10.0,0.0,0.0,0.9,-0.0,155.8,163,0
10.0,7,1.2,17.2,0.0,0.6,-0.0,157.0,162,0
10.0,8,1.75,33.1,0.0,0.8,-0.0,158.1,183,0
10.0,9,4.5,27.3,0.0,0.9,-0.0,158.1,183,0
10.0,8,2.6666666666666665,12.5,0.0,0.7,-0.0,156.7,162,0
10.0,7,1.2,33.9,0.0,0.7,-0.0,158.7,182,0
10.0,9,4.5,1.7,0.0,0.9,-0.0,155.5,157,0
10.0,9,4.5,25.0,0.0,0.9,-0.0,157.6,180,0
10.0,6,1.2,17.4,0.0,0.6,-0.0,157.1,162,0
10.0,7,1.75,31.1,0.0,0.7,-0.0,158.3,181,0
10.0,9,4.5,25.1,0.0,0.9,-0.0,157.9,181,0
10.0,9,4.5,7.0,0.0,0.8,-0.0,156.4,162,0
10.0,7,1.2,14.0,0.0,0.7,-0.0,156.4,160,0
10.0,8,2.6666666666666665,26.6,0.0,0.8,-0.0,157.9,180,0
10.0,9,4.5,24.4,0.0,0.9,-0.0,157.6,180,0
10.0,7,1.75,13.0,0.0,0.7,-0.0,156.8,162,0
10.0,6,1.2,33.8,0.0,0.6,-0.0,158.7,181,0
10.0,9,4.5,25.0,0.0,0.9,-0.0,157.8,180,0
10.0,10,10.0,0.0,0.0,0.9,-0.0,155.8,163,0
10.0,7,1.2,16.9,0.0,0.6,-0.0,156.9,162,0
10.0,8,1.75,30.6,0.0,0.8,-0.0,157.9,181,0
10.0,9,4.5,23.6,0.0,0.9,-0.0,157.7,179,0
10.0,8,2.6666666666666665,12.6,0.0,0.7,-0.0,156.6,162,0
10.0,7,1.2,32.4,0.0,0.7,-0.0,158.5,180,0
10.0,9,4.5,1.7,0.0,0.9,-0.0,155.5,157,0
10.0,9,4.5,25.1,0.0,0.9,-0.0,157.7,181,0
10.0,6,1.2,16.3,0.0,0.6,-0.0,157.0,162,0
10.0,7,1.75,29.1,0.0,0.7,-0.0,158.2,179,0
10.0,9,4.5,23.7,0.0,0.9,-0.0,157.7,179,0
10.0,9,4.5,7.4,0.0,0.8,-0.0,156.5,163,0
10.0,7,1.2,13.8,0.0,0.7,-0.0,156.3,159,0
10.0,8,2.6666666666666665,26.9,0.0,0.8,-0.0,158.0,181,0
10.0,9,4.5,25.0,0.0,0.9,-0.0,157.6,180,0
10.0,7,1.75,13.1,0.0,0.7,-0.0,156.8,162,0
10.0,6,1.2,34.0,0.0,0.6,-0.0,158.7,181,0
10.0,9,4.5,28.7,0.0,0.9,-0.0,158.2,184,0
10.0,10,10.0,0.0,0.0,0.9,-0.0,155.7,162,0
10.0,7,1.2,16.2,0.0,0.6,-0.0,156.9,162,0
10.0,8,1.75,29.1,0.0,0.8,-0.0,157.7,179,0
10.0,9,4.5,26.4,0.0,0.9,-0.0,158.0,182,0
10.0,8,2.6666666666666665,12.8,0.0,0.7,-0.0,156.7,162,0
10.0,7,1.2,32.6,0.0,0.7,-0.0,158.6,180,0
10.0,9,4.5,1.7,0.0,0.9,-0.0,155.5,157,0
10.0,9,4.5,24.9,0.0,0.9,-0.0,157.6,180,0
10.0,6,1.2,17.2,0.0,0.6,-0.0,157.1,162,0
10.0,7,1.75,30.5,0.0,0.7,-0.0,158.3,180,0
10.0,9,4.5,24.5,0.0,0.9,-0.0,157.8,180,0
10.0,9,4.5,7.1,0.0,0.8,-0.0,156.4,162,0
10.0,7,1.2,13.9,0.0,0.7,-0.0,156.3,159,0
10.0,8,2.6666666666666665,28.5,0.0,0.8,-0.0,158.1,182,0
10.0,9,4.5,25.0,0.0,0.9,-0.0,157.6,180,0
10.0,7,1.75,13.3,0.0,0.7,-0.0,156.8,162,0
10.0,6,1.2,35.0,0.0,0.6,-0.0,158.8,181,0
10.0,9,4.5,28.2,0.0,0.9,-0.0,158.2,184,0
10.0,10,10.0,0.0,0.0,0.9,-0.0,155.8,163,0
10.0,7,1.2,17.2,0.0,0.6,-0.0,156.9,162,0
10.0,8,1.75,31.1,0.0,0.8,-0.0,157.9,181,0
10.0,9,4.5,24.4,0.0,0.9,-0.0,157.8,180,0
10.0,8,2.6666666666666665,13.1,0.0,0.7,-0.0,156.7,162,0
10.0,7,1.2,33.7,0.0,0.7,-0.0,158.7,181,0
10.0,9,4.5,1.7,0.0,0.9,-0.0,155.5,157,0
10.0,9,4.5,27.5,0.0,0.9,-0.0,157.9,183,0
10.0,6,1.2,16.4,0.0,0.6,-0.0,157.1,162,0
10.0,7,1.75,30.3,0.0,0.7,-0.0,158.3,180,0
10.0,9,4.5,23.4,0.0,0.9,-0.0,157.7,179,0
10.0,9,4.5,7.2,0.0,0.8,-0.0,156.5,163,0
10.0,7,1.2,13.8,0.0,0.7,-0.0,156.4,160,0
10.0,8,2.6666666666666665,29.3,0.0,0.8,-0.0,158.2,183,0
10.0,9,4.5,24.7,0.0,0.9,-0.0,157.6,180,0
10.0,7,1.75,14.0,0.0,0.7,-0.0,156.9,163,0
10.0,6,1.2,34.8,0.0,0.6,-0.0,158.8,182,0
10.0,9,4.5,24.9,0.0,0.9,-0.0,157.8,180,0
10.0,10,10.0,0.0,0.0,0.9,-0.0,155.7,162,0
10.0,7,1.2,16.5,0.0,0.6,-0.0,157.0,162,0
10.0,8,1.75,30.4,0.0,0.8,-0.0,157.8,180,0
10.0,9,4.5,25.7,0.0,0.9,-0.0,157.9,181,0
10.0,8,2.6666666666666665,12.9,0.0,0.7,-0.0,156.7,162,0
10.0,7,1.2,33.6,0.0,0.7,-0.0,158.7,182,0
10.0,9,4.5,1.7,0.0,0.9,-0.0,155.5,157,0
10.0,9,4.5,23.7,0.0,0.9,-0.0,157.5,179,0
10.0,6,1.2,17.0,0.0,0.6,-0.0,157.2,163,0
10.0,7,1.75,32.5,0.0,0.7,-0.0,158.5,182,0
10.0,9,4.5,24.1,0.0,0.9,-0.0,157.8,180,0
10.0,9,4.5,7.1,0.0,0.8,-0.0,156.4,162,0
10.0,7,1.2,14.3,0.0,0.7,-0.0,156.4,160,0
10.0,8,2.6666666666666665,27.6,0.0,0.8,-0.0,158.0,181,0
10.0,9,4.5,23.5,0.0,0.9,-0.0,157.5,179,0
10.0,7,1.75,13.1,0.0,0.7,-0.0,156.8,162,0
10.0,6,1.2,34.2,0.0,0.6,-0.0,158.7,181,0
10.0,9,4.5,23.8,0.0,0.9,-0.0,157.7,179,0
10.0,10,10.0,0.0,0.0,0.9,-0.0,155.7,162,0
10.0,7,1.2,17.2,0.0,0.6,-0.0,156.9,162,0
10.0,8,1.75,32.2,0.0,0.8,-0.0,158.0,182,0
10.0,9,4.5,26.0,0.0,0.9,-0.0,157.9,181,0
10.0,8,2.6666666666666665,13.0,0.0,0.7,-0.0,156.7,162,0
10.0,7,1.2,33.9,0.0,0.7,-0.0,158.7,182,0
10.0,9,4.5,1.7,0.0,0.9,-0.0,155.5,157,0
10.0,9,4.5,23.5,0.0,0.9,-0.0,157.5,179,0
10.0,6,1.2,17.3,0.0,0.6,-0.0,157.2,163,0
10.0,7,1.75,32.2,0.0,0.7,-0.0,158.4,182,0
10.0,9,4.5,24.1,0.0,0.9,-0.0,157.8,180,0
10.0,9,4.5,7.4,0.0,0.8,-0.0,156.5,163,0
10.0,7,1.2,14.3,0.0,0.7,-0.0,156.4,160,0
10.0,8,2.6666666666666665,25.6,0.0,0.8,-0.0,157.8,179,0
10.0,9,4.5,25.1,0.0,0.9,-0.0,157.7,181,0
10.0,7,1.75,13.2,0.0,0.7,-0.0,156.8,162,0
10.0,6,1.2,35.3,0.0,0.6,-0.0,158.8,182,0
10.0,9,4.5,26.6,0.0,0.9,-0.0,158.0,182,0
10.0,10,10.0,0.0,0.0,0.9,-0.0,155.7,162,0
10.0,7,1.2,16.3,0.0,0.6,-0.0,157.0,162,0
10.0,8,1.75,32.3,0.0,0.8,-0.0,158.0,182,0
10.0,9,4.5,24.5,0.0,0.9,-0.0,157.8,180,0
10.0,8,2.6666666666666665,13.3,0.0,0.7,-0.0,156.7,162,0
10.0,7,1.2,35.9,0.0,0.7,-0.0,158.9,183,0
10.0,9,4.5,1.7,0.0,0.9,-0.0,155.5,157,0
10.0,9,4.5,26.3,0.0,0.9,-0.0,157.8,182,0
10.0,6,1.2,16.3,0.0,0.6,-0.0,157.1,162,0
10.0,7,1.75,33.4,0.0,0.7,-0.0,158.5,183,0
10.0,9,4.5,26.4,0.0,0.9,-0.0,158.0,182,0
10.0,9,4.5,6.7,0.0,0.8,-0.0,156.4,162,0
10.0,7,1.2,14.5,0.0,0.7,-0.0,156.4,160,0
10.0,8,2.6666666666666665,25.6,0.0,0.8,-0.0,157.8,179,0
10.0,9,4.5,30.3,0.0,0.9,-0.0,158.2,186,0
10.0,7,1.75,13.7,0.0,0.7,-0.0,156.9,163,0
10.0,6,1.2,33.2,0.0,0.6,-0.0,158.6,180,0
10.0,9,4.5,27.7,0.0,0.9,-0.0,158.1,183,0
10.0,10,10.0,0.0,0.0,0.9,-0.0,155.7,162,0
10.0,7,1.2,16.3,0.0,0.6,-0.0,156.8,161,0
10.0,8,1.75,29.7,0.0,0.8,-0.0,157.8,180,0
10.0,9,4.5,25.5,0.0,0.9,-0.0,157.9,181,0
10.0,8,2.6666666666666665,13.7,0.0,0.7,-0.0,156.8,163,0
10.0,7,1.2,33.1,0.0,0.7,-0.0,158.6,181,0
10.0,9,4.5,1.7,0.0,0.9,-0.0,155.5,157,0
10.0,9,4.5,27.5,0.0,0.9,-0.0,157.9,183,0
10.0,6,1.2,17.5,0.0,0.6,-0.0,157.2,163,0
10.0,7,1.75,29.8,0.0,0.7,-0.0,158.2,180,0
10.0,9,4.5,24.8,0.0,0.9,-0.0,157.8,180,0
10.0,9,4.5,7.1,0.0,0.8,-0.0,156.4,162,0
10.0,7,1.2,14.0,0.0,0.7,-0.0,156.3,159,0
10.0,8,2.6666666666666665,28.9,0.0,0.8,-0.0,158.2,183,0
10.0,9,4.5,24.2,0.0,0.9,-0.0,157.6,180,0
10.0,7,1.75,13.5,0.0,0.7,-0.0,156.8,162,0
10.0,6,1.2,33.8,0.0,0.6,-0.0,158.7,181,0
10.0,9,4.5,24.0,0.0,0.9,-0.0,157.7,179,0
10.0,10,10.0,0.0,0.0,0.9,-0.0,155.8,163,0
10.0,7,1.2,16.4,0.0,0.6,-0.0,156.8,161,0
10.0,8,1.75,29.9,0.0,0.8,-0.0,157.8,180,0
10.0,9,4.5,24.8,0.0,0.9,-0.0,157.8,180,0
10.0,8,2.6666666666666665,12.6,0.0,0.7,-0.0,156.7,162,0
10.0,7,1.2,33.8,0.0,0.7,-0.0,158.7,182,0
10.0,9,4.5,1.7,0.0,0.9,-0.0,155.5,157,0
10.0,9,4.5,27.2,0.0,0.9,-0.0,157.9,183,0
10.0,6,1.2,16.5,0.0,0.6,-0.0,157.0,162,0
10.0,7,1.75,31.0,0.0,0.7,-0.0,158.3,181,0
10.0,9,4.5,25.6,0.0,0.9,-0.0,157.9,181,0
10.0,9,4.5,7.5,0.0,0.8,-0.0,156.5,163,0
10.0,7,1.2,13.8,0.0,0.7,-0.0,156.3,159,0
10.0,8,2.6666666666666665,25.7,0.0,0.8,-0.0,157.9,180,0
10.0,9,4.5,24.2,0.0,0.9,-0.0,157.6,180,0
10.0,7,1.75,14.3,0.0,0.7,-0.0,156.9,163,0
10.0,6,1.2,34.0,0.0,0.6,-0.0,158.7,181,0
10.0,9,4.5,24.4,0.0,0.9,-0.0,157.8,180,0
10.0,10,10.0,0.0,0.0,0.9,-0.0,155.8,163,0
10.0,7,1.2,17.0,0.0,0.6,-0.0,156.9,162,0
10.0,8,1.75,28.3,0.0,0.8,-0.0,157.6,178,0
10.0,9,4.5,23.4,0.0,0.9,-0.0,157.7,179,0
10.0,8,2.6666666666666665,13.7,0.0,0.7,-0.0,156.8,163,0
10.0,7,1.2,34.2,0.0,0.7,-0.0,158.8,182,0
10.0,9,4.5,1.7,0.0,0.9,-0.0,155.5,157,0
10.0,9,4.5,25.2,0.0,0.9,-0.0,157.7,181,0
10.0,6,1.2,17.0,0.0,0.6,-0.0,157.2,163,0
10.0,7,1.75,30.4,0.0,0.7,-0.0,158.2,180,0
10.0,9,4.5,24.3,0.0,0.9,-0.0,157.8,180,0
10.0,9,4.5,7.4,0.0,0.8,-0.0,156.5,163,0
10.0,7,1.2,13.7,0.0,0.7,-0.0,156.3,159,0
10.0,8,2.6666666666666665,27.1,0.0,0.8,-0.0,158.0,181,0
10.0,9,4.5,22.9,0.0,0.9,-0.0,157.4,178,0
10.0,7,1.75,13.1,0.0,0.7,-0.0,156.8,162,0
10.0,6,1.2,35.4,0.0,0.6,-0.0,158.8,182,0
10.0,9,4.5,26.7,0.0,0.9,-0.0,158.0,182,0
10.0,10,10.0,0.0,0.0,0.9,-0.0,155.7,162,0
10.0,7,1.2,17.0,0.0,0.6,-0.0,156.9,162,0
10.0,8,1.75,33.9,0.0,0.8,-0.0,158.2,184,0
10.0,9,4.5,25.4,0.0,0.9,-0.0,157.9,181,0
10.0,8,2.6666666666666665,13.1,0.0,0.7,-0.0,156.7,163,0
10.0,7,1.2,34.5,0.0,0.7,-0.0,158.8,183,0
10.0,9,4.5,1.7,0.0,0.9,-0.0,155.5,157,0
10.0,9,4.5,26.4,0.0,0.9,-0.0,157.8,182,0
10.0,6,1.2,16.9,0.0,0.6,-0.0,157.1,162,0
10.0,7,1.75,31.4,0.0,0.7,-0.0,158.4,181,0
10.0,9,4.5,24.5,0.0,0.9,-0.0,157.8,180,0
10.0,9,4.5,6.7,0.0,0.8,-0.0,156.4,162,0
10.0,7,1.2,13.9,0.0,0.7,-0.0,156.3,159,0
10.0,8,2.6666666666666665,26.2,0.0,0.8,-0.0,157.9,180,0
10.0,9,4.5,25.6,0.0,0.9,-0.0,157.7,181,0
10.0,7,1.75,13.3,0.0,0.7,-0.0,156.8,162,0
10.0,6,1.2,34.9,0.0,0.6,-0.0,158.8,181,0
10.0,9,4.5,25.8,0.0,0.9,-0.0,157.9,181,0
10.0,10,10.0,0.0,0.0,0.9,-0.0,155.7,162,0
